x,y,T
0.428571,0.142857,0.605351
0.448980,0.142857,0.575657
0.469388,0.142857,0.545558
0.489796,0.142857,0.515213
0.510204,0.142857,0.484787
0.530612,0.142857,0.454442
0.551020,0.142857,0.424343
0.571429,0.142857,0.394649
0.591837,0.142857,0.365512
0.612245,0.142857,0.337075
0.632653,0.142857,0.309470
0.653061,0.142857,0.282815
0.673469,0.142857,0.257213
0.693878,0.142857,0.232750
0.714286,0.142857,0.209491
0.734694,0.142857,0.187484
0.755102,0.142857,0.166755
0.775510,0.142857,0.147309
0.795918,0.142857,0.129130
0.816327,0.142857,0.112182
0.836735,0.142857,0.096408
0.857143,0.142857,0.081731
0.877551,0.142857,0.068058
0.897959,0.142857,0.055279
0.918367,0.142857,0.043267
0.938776,0.142857,0.031885
0.959184,0.142857,0.020985
0.979592,0.142857,0.010410
1.000000,0.142857,0.000000
0.000000,0.163265,1.000000
0.020408,0.163265,0.990527
0.040816,0.163265,0.980875
0.061224,0.163265,0.970866
0.081633,0.163265,0.960331
0.102041,0.163265,0.949106
0.122449,0.163265,0.937042
0.142857,0.163265,0.924001
0.163265,0.163265,0.909862
0.183673,0.163265,0.894522
0.204082,0.163265,0.877898
0.224490,0.163265,0.859928
0.244898,0.163265,0.840572
0.265306,0.163265,0.819813
0.285714,0.163265,0.797656
0.306122,0.163265,0.774130
0.326531,0.163265,0.749286
0.346939,0.163265,0.723198
0.367347,0.163265,0.695957
0.387755,0.163265,0.667678
0.408163,0.163265,0.638488
0.428571,0.163265,0.608532
0.448980,0.163265,0.577967
0.469388,0.163265,0.546959
0.489796,0.163265,0.515683
0.510204,0.163265,0.484317
0.530612,0.163265,0.453041
0.551020,0.163265,0.422033
0.571429,0.163265,0.391468
0.591837,0.163265,0.361512
0.612245,0.163265,0.332322
0.632653,0.163265,0.304043
0.653061,0.163265,0.276802
0.673469,0.163265,0.250714
0.693878,0.163265,0.225870
0.714286,0.163265,0.202344
0.734694,0.163265,0.180187
0.755102,0.163265,0.159428
0.775510,0.163265,0.140072
0.795918,0.163265,0.122102
0.816327,0.163265,0.105478
0.836735,0.163265,0.090138
0.857143,0.163265,0.075999
0.877551,0.163265,0.062958
0.897959,0.163265,0.050894
0.918367,0.163265,0.039669
0.938776,0.163265,0.029134
0.959184,0.163265,0.019125
0.979592,0.163265,0.009473
1.000000,0.163265,0.000000
0.000000,0.183673,1.000000
0.020408,0.183673,0.991285
0.040816,0.183673,0.982378
0.061224,0.183673,0.973090
0.081633,0.183673,0.963239
0.102041,0.183673,0.952651
0.122449,0.183673,0.941165
0.142857,0.183673,0.928635
0.163265,0.183673,0.914930
0.183673,0.183673,0.899942
0.204082,0.183673,0.883580
0.224490,0.183673,0.865779
0.244898,0.183673,0.846496
0.265306,0.183673,0.825713
0.285714,0.183673,0.803434
0.306122,0.183673,0.779692
0.326531,0.183673,0.754541
0.346939,0.183673,0.728059
0.367347,0.183673,0.700345
0.387755,0.183673,0.671520
0.408163,0.183673,0.641721
0.428571,0.183673,0.611103
0.448980,0.183673,0.579834
0.469388,0.183673,0.548092
0.489796,0.183673,0.516063
0.510204,0.183673,0.483937
0.530612,0.183673,0.451908
0.551020,0.183673,0.420166
0.571429,0.183673,0.388897
0.591837,0.183673,0.358279
0.612245,0.183673,0.328480
0.632653,0.183673,0.299655
0.653061,0.183673,0.271941
0.673469,0.183673,0.245459
0.693878,0.183673,0.220308
0.714286,0.183673,0.196566
0.734694,0.183673,0.174287
0.755102,0.183673,0.153504
0.775510,0.183673,0.134221
0.795918,0.183673,0.116420
0.816327,0.183673,0.100058
0.836735,0.183673,0.085070
0.857143,0.183673,0.071365
0.877551,0.183673,0.058835
0.897959,0.183673,0.047349
0.918367,0.183673,0.036761
0.938776,0.183673,0.026910
0.959184,0.183673,0.017622
0.979592,0.183673,0.008715
1.000000,0.183673,0.000000
0.000000,0.204082,1.000000
0.020408,0.204082,0.991851
0.040816,0.204082,0.983501
0.061224,0.204082,0.974751
0.081633,0.204082,0.965411
0.102041,0.204082,0.955298
0.122449,0.204082,0.944244
0.142857,0.204082,0.932095
0.163265,0.204082,0.918714
0.183673,0.204082,0.903988
0.204082,0.204082,0.887823
0.224490,0.204082,0.870148
0.244898,0.204082,0.850920
0.265306,0.204082,0.830118
0.285714,0.204082,0.807749
0.306122,0.204082,0.783846
0.326531,0.204082,0.758465
0.346939,0.204082,0.731689
0.367347,0.204082,0.703621
0.387755,0.204082,0.674388
0.408163,0.204082,0.644135
0.428571,0.204082,0.613024
0.448980,0.204082,0.581229
0.469388,0.204082,0.548938
0.489796,0.204082,0.516346
0.510204,0.204082,0.483654
0.530612,0.204082,0.451062
0.551020,0.204082,0.418771
0.571429,0.204082,0.386976
0.591837,0.204082,0.355865
0.612245,0.204082,0.325612
0.632653,0.204082,0.296379
0.653061,0.204082,0.268311
0.673469,0.204082,0.241535
0.693878,0.204082,0.216154
0.714286,0.204082,0.192251
0.734694,0.204082,0.169882
0.755102,0.204082,0.149080
0.775510,0.204082,0.129852
0.795918,0.204082,0.112177
0.816327,0.204082,0.096012
0.836735,0.204082,0.081286
0.857143,0.204082,0.067905
0.877551,0.204082,0.055756
0.897959,0.204082,0.044702
0.918367,0.204082,0.034589
0.938776,0.204082,0.025249
0.959184,0.204082,0.016499
0.979592,0.204082,0.008149
1.000000,0.204082,0.000000
0.000000,0.224490,1.000000
