x,time,dudx
0.122449,0.467000,-0.999961
0.142857,0.467000,-1.000199
0.163265,0.467000,-1.000096
0.183673,0.467000,-0.999827
0.204082,0.467000,-0.999729
0.224490,0.467000,-0.999875
0.244898,0.467000,-1.000148
0.265306,0.467000,-1.000417
0.285714,0.467000,-1.000610
0.306122,0.467000,-1.000712
0.326531,0.467000,-1.000740
0.346939,0.467000,-1.000720
0.367347,0.467000,-1.000671
0.387755,0.467000,-1.000609
0.408163,0.467000,-1.000541
0.428571,0.467000,-1.000471
0.448980,0.467000,-1.000403
0.469388,0.467000,-1.000337
0.489796,0.467000,-1.000274
0.510204,0.467000,-1.000212
0.530612,0.467000,-1.000154
0.551020,0.467000,-1.000098
0.571429,0.467000,-1.000044
0.591837,0.467000,-0.999993
0.612245,0.467000,-0.999945
0.632653,0.467000,-0.999899
0.653061,0.467000,-0.999855
0.673469,0.467000,-0.999814
0.693878,0.467000,-0.999776
0.714286,0.467000,-0.999740
0.734694,0.467000,-0.999706
0.755102,0.467000,-0.999675
0.775510,0.467000,-0.999647
0.795918,0.467000,-0.999621
0.816327,0.467000,-0.999597
0.836735,0.467000,-0.999576
0.857143,0.467000,-0.999558
0.877551,0.467000,-0.999542
0.897959,0.467000,-0.999528
0.918367,0.467000,-0.999517
0.938776,0.467000,-0.999508
0.959184,0.467000,-0.999502
0.979592,0.467000,-0.999498
0.020408,0.468000,-0.999995
0.040816,0.468000,-1.000140
0.061224,0.468000,-0.999959
0.081633,0.468000,-0.999953
0.102041,0.468000,-0.999942
0.122449,0.468000,-0.999961
0.142857,0.468000,-1.000199
0.163265,0.468000,-1.000096
0.183673,0.468000,-0.999827
0.204082,0.468000,-0.999729
0.224490,0.468000,-0.999875
0.244898,0.468000,-1.000148
0.265306,0.468000,-1.000417
0.285714,0.468000,-1.000610
0.306122,0.468000,-1.000712
0.326531,0.468000,-1.000740
0.346939,0.468000,-1.000720
0.367347,0.468000,-1.000671
0.387755,0.468000,-1.000609
0.408163,0.468000,-1.000541
0.428571,0.468000,-1.000471
0.448980,0.468000,-1.000403
0.469388,0.468000,-1.000337
0.489796,0.468000,-1.000274
0.510204,0.468000,-1.000212
0.530612,0.468000,-1.000154
0.551020,0.468000,-1.000098
0.571429,0.468000,-1.000044
0.591837,0.468000,-0.999993
0.612245,0.468000,-0.999945
0.632653,0.468000,-0.999899
0.653061,0.468000,-0.999855
0.673469,0.468000,-0.999814
0.693878,0.468000,-0.999776
0.714286,0.468000,-0.999740
0.734694,0.468000,-0.999706
0.755102,0.468000,-0.999675
0.775510,0.468000,-0.999647
0.795918,0.468000,-0.999621
0.816327,0.468000,-0.999597
0.836735,0.468000,-0.999576
0.857143,0.468000,-0.999558
0.877551,0.468000,-0.999542
0.897959,0.468000,-0.999528
0.918367,0.468000,-0.999517
0.938776,0.468000,-0.999508
0.959184,0.468000,-0.999502
0.979592,0.468000,-0.999498
0.020408,0.469000,-0.999995
0.040816,0.469000,-1.000140
0.061224,0.469000,-0.999959
0.081633,0.469000,-0.999953
0.102041,0.469000,-0.999942
0.122449,0.469000,-0.999961
0.142857,0.469000,-1.000199
0.163265,0.469000,-1.000096
0.183673,0.469000,-0.999827
0.204082,0.469000,-0.999729
0.224490,0.469000,-0.999875
0.244898,0.469000,-1.000148
0.265306,0.469000,-1.000417
0.285714,0.469000,-1.000610
0.306122,0.469000,-1.000712
0.326531,0.469000,-1.000740
0.346939,0.469000,-1.000720
0.367347,0.469000,-1.000671
0.387755,0.469000,-1.000609
0.408163,0.469000,-1.000541
0.428571,0.469000,-1.000471
0.448980,0.469000,-1.000403
0.469388,0.469000,-1.000337
0.489796,0.469000,-1.000274
0.510204,0.469000,-1.000212
0.530612,0.469000,-1.000154
0.551020,0.469000,-1.000098
0.571429,0.469000,-1.000044
0.591837,0.469000,-0.999993
0.612245,0.469000,-0.999945
0.632653,0.469000,-0.999899
0.653061,0.469000,-0.999855
0.673469,0.469000,-0.999814
0.693878,0.469000,-0.999776
0.714286,0.469000,-0.999740
0.734694,0.469000,-0.999706
0.755102,0.469000,-0.999675
0.775510,0.469000,-0.999647
0.795918,0.469000,-0.999621
0.816327,0.469000,-0.999597
0.836735,0.469000,-0.999576
0.857143,0.469000,-0.999558
0.877551,0.469000,-0.999542
0.897959,0.469000,-0.999528
0.918367,0.469000,-0.999517
0.938776,0.469000,-0.999508
0.959184,0.469000,-0.999502
0.979592,0.469000,-0.999498
0.020408,0.470000,-0.999995
0.040816,0.470000,-1.000140
0.061224,0.470000,-0.999959
0.081633,0.470000,-0.999953
0.102041,0.470000,-0.999942
0.122449,0.470000,-0.999961
0.142857,0.470000,-1.000199
0.163265,0.470000,-1.000096
0.183673,0.470000,-0.999827
0.204082,0.470000,-0.999729
0.224490,0.470000,-0.999875
0.244898,0.470000,-1.000148
0.265306,0.470000,-1.000417
0.285714,0.470000,-1.000610
0.306122,0.470000,-1.000712
0.326531,0.470000,-1.000740
0.346939,0.470000,-1.000720
0.367347,0.470000,-1.000671
0.387755,0.470000,-1.000609
0.408163,0.470000,-1.000541
0.428571,0.470000,-1.000471
0.448980,0.470000,-1.000403
0.469388,0.470000,-1.000337
0.489796,0.470000,-1.000274
0.510204,0.470000,-1.000212
0.530612,0.470000,-1.000154
0.551020,0.470000,-1.000098
0.571429,0.470000,-1.000044
0.591837,0.470000,-0.999993
0.612245,0.470000,-0.999945
0.632653,0.470000,-0.999899
0.653061,0.470000,-0.999855
0.673469,0.470000,-0.999814
0.693878,0.470000,-0.999776
0.714286,0.470000,-0.999740
0.734694,0.470000,-0.999706
0.755102,0.470000,-0.999675
0.775510,0.470000,-0.999647
0.795918,0.470000,-0.999621
0.816327,0.470000,-0.999597
0.836735,0.470000,-0.999576
0.857143,0.470000,-0.999558
0.877551,0.470000,-0.999542
0.897959,0.470000,-0.999528
0.918367,0.470000,-0.999517
0.938776,0.470000,-0.999508
0.959184,0.470000,-0.999502
0.979592,0.470000,-0.999498
0.020408,0.471000,-0.999995
